Linux 3.10.0-1062.12.1.el7.x86_64 (ip-10-0-1-155.ap-south-1.compute.internal) 	10/18/2021 	_x86_64_	(2 CPU)

05:50:22 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:50:27 PM     all     48.98      0.00     31.91      2.74      0.20     16.16
05:50:32 PM     all     37.10      0.00     30.89      3.16      0.00     28.85
05:50:37 PM     all     49.90      0.00      1.80      0.00      0.00     48.30
05:50:42 PM     all     12.22      0.00     10.52      0.30      0.10     76.85
05:50:47 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:50:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:50:57 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:02 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:12 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:22 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:32 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:37 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:47 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:52 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:57 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:02 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:52:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:12 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:17 PM     all      0.00      0.00      0.10      0.00      0.10     99.80
05:52:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:32 PM     all      0.10      0.00      0.00      0.00      0.10     99.80
05:52:37 PM     all      9.27      0.00      5.30      5.80      0.61     79.02
05:52:42 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:52:47 PM     all      0.10      0.00      0.00      0.00      0.20     99.70
05:52:52 PM     all      0.00      0.00      0.10      0.00      0.10     99.80
05:52:57 PM     all     23.36      0.00     13.83      3.18      1.13     58.50
05:53:02 PM     all     80.62      0.00     16.97      0.80      0.00      1.61
05:53:07 PM     all     80.28      0.00     17.51      0.70      0.00      1.51
05:53:12 PM     all      5.76      0.00      2.16      0.31      1.95     89.81
05:53:17 PM     all      1.33      0.00      1.54      0.00      2.77     94.36
05:53:22 PM     all      1.23      0.00      1.44      0.00      2.36     94.96
05:53:27 PM     all      1.13      0.00      1.54      0.00      2.37     94.96
05:53:32 PM     all      1.24      0.00      1.44      0.21      2.79     94.32
05:53:37 PM     all      1.22      0.00      1.43      0.20      3.57     93.58
05:53:42 PM     all      1.23      0.00      1.54      0.10      2.66     94.47
05:53:47 PM     all      1.23      0.00      1.75      0.00      2.88     94.14
05:53:52 PM     all      1.25      0.00      1.45      0.00      2.18     95.12
05:53:57 PM     all      1.54      0.00      1.74      0.00      2.36     94.36
05:54:02 PM     all      1.64      0.00      1.54      0.00      2.76     94.06
05:54:07 PM     all      1.13      0.00      1.43      0.00      3.07     94.36
05:54:12 PM     all      1.13      0.00      1.24      0.00      2.68     94.95
05:54:17 PM     all      1.23      0.00      1.44      0.00      3.18     94.15
05:54:22 PM     all      1.33      0.00      1.44      0.00      2.36     94.87
05:54:27 PM     all      1.13      0.00      1.33      0.00      2.97     94.56
05:54:32 PM     all      1.32      0.00      1.53      0.00      3.15     94.00
05:54:37 PM     all      1.43      0.00      1.33      0.00      3.57     93.67
05:54:42 PM     all      1.43      0.00      2.25      0.20      2.25     93.85
05:54:47 PM     all      1.54      0.00      1.95      0.10      2.78     93.62
05:54:52 PM     all      1.85      0.00      2.06      0.21      2.78     93.10
05:54:57 PM     all      1.84      0.00      2.25      0.10      3.48     92.32
05:55:02 PM     all      1.97      0.00      2.17      0.10      2.38     93.37
05:55:07 PM     all      1.87      0.00      2.18      0.10      2.49     93.37
05:55:12 PM     all      1.97      0.00      2.60      0.21      3.12     92.11
05:55:17 PM     all      1.77      0.00      2.29      0.10      2.60     93.24
05:55:22 PM     all      1.98      0.00      2.39      0.00      2.19     93.44
05:55:27 PM     all      1.76      0.00      2.28      0.00      2.48     93.49
05:55:32 PM     all      1.77      0.00      2.29      0.00      3.01     92.93
05:55:37 PM     all      1.76      0.00      1.97      0.00      4.04     92.24
05:55:42 PM     all      2.37      0.00      2.47      0.00      2.98     92.18
