IP	Date	CPU	%user	%nice	%system	%iowait	%steal	%idle
10-0-0-66	10/18/2021 4:43:02 PM	all	0	0	0	0	0.4	99.6
10-0-0-66	10/18/2021 4:43:07 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:43:12 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:43:17 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:43:22 PM	all	0	0	0	0	0.6	99.4
10-0-0-66	10/18/2021 4:43:27 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:43:32 PM	all	3.87	0	0.92	5.8	0.41	89
10-0-0-66	10/18/2021 4:43:37 PM	all	31.74	0	10.06	5.6	0.31	52.28
10-0-0-66	10/18/2021 4:43:42 PM	all	0.82	0	0.82	0	0.61	97.75
10-0-0-66	10/18/2021 4:43:47 PM	all	0.71	0	0.92	0	0.51	97.86
10-0-0-66	10/18/2021 4:43:52 PM	all	0.72	0	0.82	0	0.72	97.75
10-0-0-66	10/18/2021 4:43:57 PM	all	0.92	0	0.92	0.51	0.61	97.04
10-0-0-66	10/18/2021 4:44:02 PM	all	7.24	0	1.65	1.14	0.62	89.35
10-0-0-66	10/18/2021 4:44:07 PM	all	0.81	0	0.91	0.1	1.02	97.16
10-0-0-66	10/18/2021 4:44:12 PM	all	0.92	0	0.82	0	0.72	97.54
10-0-0-66	10/18/2021 4:44:17 PM	all	0.81	0	1.02	0	0.71	97.45
10-0-0-66	10/18/2021 4:44:22 PM	all	0.92	0	1.02	0	0.51	97.55
10-0-0-66	10/18/2021 4:44:27 PM	all	0.82	0	1.02	0	0.71	97.45
10-0-0-66	10/18/2021 4:44:32 PM	all	0.82	0	0.72	0	0.72	97.75
10-0-0-66	10/18/2021 4:44:37 PM	all	0.82	0	0.82	0	0.72	97.65
10-0-0-66	10/18/2021 4:44:42 PM	all	0.82	0	0.92	0	0.72	97.54
10-0-0-66	10/18/2021 4:44:47 PM	all	0.72	0	0.82	0	0.61	97.85
10-0-0-66	10/18/2021 4:44:52 PM	all	0.61	0	0.92	0	0.72	97.75
10-0-0-66	10/18/2021 4:44:57 PM	all	0.61	0	0.72	0	0.72	97.96
10-0-0-66	10/18/2021 4:45:02 PM	all	0.72	0	0.61	0	1.02	97.65
10-0-0-66	10/18/2021 4:45:07 PM	all	0.61	0	0.72	0	0.72	97.96
10-0-0-66	10/18/2021 4:45:12 PM	all	0.72	0	0.92	0	0.82	97.54
10-0-0-66	10/18/2021 4:45:17 PM	all	0.61	0	0.72	0	0.51	98.16
10-0-0-66	10/18/2021 4:45:22 PM	all	0.82	0	0.72	0	0.82	97.64
10-0-0-66	10/18/2021 4:45:27 PM	all	0.62	0	0.62	0	0.72	98.05
10-0-0-66	10/18/2021 4:45:32 PM	all	0.82	0	0.72	0	0.62	97.85
10-0-0-66	10/18/2021 4:45:37 PM	all	0.72	0	0.72	0	0.51	98.06
10-0-0-66	10/18/2021 4:45:42 PM	all	0.72	0	0.92	0	0.72	97.64
10-0-0-66	10/18/2021 4:45:47 PM	all	0.72	0	0.61	0	0.61	98.06
10-0-0-66	10/18/2021 4:45:52 PM	all	0.82	0	0.72	0	0.61	97.85
10-0-0-66	10/18/2021 4:45:57 PM	all	0.72	0	0.61	0	0.61	98.06
10-0-0-66	10/18/2021 4:46:02 PM	all	0.72	0	0.82	0	0.51	97.95
10-0-0-66	10/18/2021 4:46:07 PM	all	0.82	0	0.51	0	0.51	98.16
10-0-0-66	10/18/2021 4:46:12 PM	all	0.92	0	1.12	0	0.82	97.15
10-0-0-66	10/18/2021 4:46:17 PM	all	0.82	0	0.82	0	0.51	97.86
10-0-0-66	10/18/2021 4:46:22 PM	all	0.82	0	0.82	0	0.61	97.75
10-0-0-66	10/18/2021 4:46:27 PM	all	0.82	0	0.82	0	0.71	97.66
10-0-0-66	10/18/2021 4:46:32 PM	all	0.82	0	0.82	0	0.61	97.76
10-0-0-66	10/18/2021 4:46:37 PM	all	1.55	0	1.34	0.1	0.52	96.49
10-0-0-66	10/18/2021 4:46:42 PM	all	2.23	0	2.23	0.42	0.74	94.38
10-0-0-66	10/18/2021 4:46:47 PM	all	2.11	0	1.9	0.42	0.85	94.71
10-0-0-66	10/18/2021 4:46:52 PM	all	3.35	0	2.92	0.43	0.86	92.43
10-0-0-66	10/18/2021 4:46:57 PM	all	3.04	0	3.25	0.33	0.98	92.41
10-0-0-66	10/18/2021 4:47:02 PM	all	3.23	0	3.12	0.54	0.97	92.13
10-0-0-66	10/18/2021 4:47:07 PM	all	3.24	0	2.81	0.43	0.86	92.65
10-0-0-66	10/18/2021 4:47:12 PM	all	3.6	0	3.38	0.44	0.98	91.6
10-0-0-66	10/18/2021 4:47:17 PM	all	3.06	0	3.06	0.33	0.87	92.68
10-0-0-66	10/18/2021 4:47:22 PM	all	2.36	0	2.47	0.43	0.86	93.88
10-0-0-66	10/18/2021 4:47:27 PM	all	2.97	0	2.97	0.44	0.88	92.73
10-0-0-66	10/18/2021 4:47:32 PM	all	2.88	0	3.21	0.44	1.11	92.36
10-0-0-66	10/18/2021 4:47:37 PM	all	2.75	0	2.97	0.44	0.88	92.96
10-0-0-66	10/18/2021 4:47:42 PM	all	3.24	0	3.02	0.45	1.01	92.28
10-0-0-66	10/18/2021 4:47:47 PM	all	2.55	0	3.22	0.44	1.11	92.67
10-0-0-66	10/18/2021 4:47:52 PM	all	2.56	0	3.01	0.45	1.11	92.87
10-0-0-66	10/18/2021 4:47:57 PM	all	2.67	0	2.89	0.44	1	93
10-0-0-66	10/18/2021 4:48:02 PM	all	2.77	0	3.21	0.44	1	92.59
10-0-0-66	10/18/2021 4:48:07 PM	all	2.75	0	2.75	0.55	0.88	93.06
10-0-0-66	10/18/2021 4:48:12 PM	all	2.78	0	3	0.44	1.11	92.66
10-0-0-66	10/18/2021 4:48:17 PM	all	2.54	0	3.1	0.33	0.88	93.14
10-0-0-66	10/18/2021 4:48:22 PM	all	2.67	0	3.11	0.44	1	92.78
10-0-0-66	10/18/2021 4:48:27 PM	all	3.3	0	6.17	0.44	0.99	89.1
10-0-0-66	10/18/2021 4:48:32 PM	all	2.76	0	2.98	0.44	0.99	92.83
10-0-0-66	10/18/2021 4:48:37 PM	all	2.53	0	3.3	0.66	1.1	92.4
10-0-0-66	10/18/2021 4:48:42 PM	all	2.77	0	3.54	0.44	1	92.25
10-0-0-66	10/18/2021 4:48:47 PM	all	2.55	0	2.99	0.44	1	93.02
10-0-0-66	10/18/2021 4:48:52 PM	all	2.87	0	3.2	0.33	1.1	92.49
10-0-0-66	10/18/2021 4:48:57 PM	all	3.2	0	3.09	0.44	0.99	92.28
10-0-0-66	10/18/2021 4:49:02 PM	all	3.54	0	2.76	0.44	0.99	92.27
10-0-0-66	10/18/2021 4:49:07 PM	all	2.86	0	2.97	0.44	0.99	92.74
10-0-0-66	10/18/2021 4:49:12 PM	all	2.98	0	3.2	0.33	0.88	92.6
10-0-0-66	10/18/2021 4:49:17 PM	all	2.86	0	2.31	0.44	0.88	93.52
10-0-0-66	10/18/2021 4:49:22 PM	all	3.41	0	3.08	0.44	0.88	92.2
10-0-0-66	10/18/2021 4:49:27 PM	all	3.18	0	2.96	0.44	0.99	92.43
10-0-0-66	10/18/2021 4:49:32 PM	all	3.23	0	2.89	0.33	0.89	92.66
10-0-0-66	10/18/2021 4:49:37 PM	all	3.3	0	2.64	0.44	0.99	92.63
10-0-0-66	10/18/2021 4:49:42 PM	all	2.99	0	3.32	0.44	0.89	92.36
10-0-0-66	10/18/2021 4:49:47 PM	all	3.09	0	2.98	0.33	0.99	92.61
10-0-0-66	10/18/2021 4:49:52 PM	all	3.41	0	3.19	0.44	0.88	92.08
10-0-0-66	10/18/2021 4:49:57 PM	all	3.41	0	2.75	0.44	0.99	92.4
10-0-0-66	10/18/2021 4:50:02 PM	all	3.19	0	3.63	0.44	0.88	91.86
10-0-0-66	10/18/2021 4:50:07 PM	all	2.74	0	2.63	0.44	0.99	93.19
10-0-0-66	10/18/2021 4:50:12 PM	all	3.41	0	3.19	0.44	0.99	91.97
10-0-0-66	10/18/2021 4:50:17 PM	all	2.88	0	2.43	0.44	1	93.25
10-0-0-66	10/18/2021 4:50:22 PM	all	3.08	0	2.86	0.44	1.1	92.51
10-0-0-66	10/18/2021 4:50:27 PM	all	3.1	0	2.77	0.44	1.11	92.58
10-0-0-66	10/18/2021 4:50:32 PM	all	3.34	0	3	0.44	0.89	92.32
10-0-0-66	10/18/2021 4:50:37 PM	all	7.31	0	7.81	0.37	1.61	82.9
10-0-0-66	10/18/2021 4:50:42 PM	all	8.03	0	8.28	0.51	1.78	81.4
10-0-0-66	10/18/2021 4:50:47 PM	all	6.88	0	8.54	0.51	1.78	82.29
10-0-0-66	10/18/2021 4:50:52 PM	all	8.01	0	7.37	0.51	1.65	82.47
10-0-0-66	10/18/2021 4:50:57 PM	all	6.88	0	7.38	0.5	1.75	83.48
10-0-0-66	10/18/2021 4:51:02 PM	all	7.99	0	6.74	0.37	1.5	83.4
10-0-0-66	10/18/2021 4:51:07 PM	all	7.38	0	7.01	0.5	1.75	83.35
10-0-0-66	10/18/2021 4:51:12 PM	all	7.98	0	7.73	0.51	1.77	82
10-0-0-66	10/18/2021 4:51:17 PM	all	7.83	0	6.8	0.51	1.93	82.93
10-0-0-66	10/18/2021 4:51:22 PM	all	8.18	0	7.17	0.38	1.76	82.52
10-0-0-66	10/18/2021 4:51:27 PM	all	7.98	0	7.1	0.51	1.9	82.51
10-0-0-66	10/18/2021 4:51:32 PM	all	7.96	0	8.09	0.51	1.77	81.67
10-0-0-66	10/18/2021 4:51:37 PM	all	8.12	0	7.38	0.5	1.75	82.25
10-0-0-66	10/18/2021 4:51:42 PM	all	8.27	0	8.14	0.51	1.78	81.3
10-0-0-66	10/18/2021 4:51:47 PM	all	8.1	0	7.22	0.51	1.65	82.53
10-0-0-66	10/18/2021 4:51:52 PM	all	8.5	0	8.25	0.5	1.75	81
10-0-0-66	10/18/2021 4:51:57 PM	all	8.16	0	7.78	0.38	1.63	82.06
10-0-0-66	10/18/2021 4:52:02 PM	all	7.88	0	7.88	0.51	1.91	81.83
10-0-0-66	10/18/2021 4:52:07 PM	all	7.27	0	6.9	0.49	1.85	83.5
10-0-0-66	10/18/2021 4:52:12 PM	all	8.38	0	7.5	0.38	1.75	82
10-0-0-66	10/18/2021 4:52:17 PM	all	7.8	0	6.92	0.5	1.89	82.89
10-0-0-66	10/18/2021 4:52:22 PM	all	7.47	0	8.23	0.51	1.77	82.03
10-0-0-66	10/18/2021 4:52:27 PM	all	8.81	0	8.05	0.38	1.76	81.01
10-0-0-66	10/18/2021 4:52:32 PM	all	8.99	0	8.24	0.37	1.75	80.65
10-0-0-66	10/18/2021 4:52:37 PM	all	8.2	0	7.58	0.5	1.74	81.99
10-0-0-66	10/18/2021 4:52:42 PM	all	8.54	0	8.04	0.5	1.63	81.28
10-0-0-66	10/18/2021 4:52:47 PM	all	8.21	0	7.84	0.5	1.62	81.84
10-0-0-66	10/18/2021 4:52:52 PM	all	8.6	0	8.22	0.51	1.77	80.91
10-0-0-66	10/18/2021 4:52:57 PM	all	7.91	0	7.42	0.49	1.85	82.32
10-0-0-66	10/18/2021 4:53:02 PM	all	9.49	0	7.37	0.37	1.87	80.9
10-0-0-66	10/18/2021 4:53:07 PM	all	8.73	0	7.11	0.5	1.75	81.92
10-0-0-66	10/18/2021 4:53:12 PM	all	8.49	0	8.49	0.37	1.87	80.77
10-0-0-66	10/18/2021 4:53:17 PM	all	8.67	0	8.18	0.5	1.86	80.79
10-0-0-66	10/18/2021 4:53:22 PM	all	8.93	0	8.06	0.5	1.74	80.77
