Linux 3.10.0-1062.12.1.el7.x86_64 (ip-10-0-0-66.ap-south-1.compute.internal) 	10/18/2021 	_x86_64_	(2 CPU)

04:40:47 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:40:52 PM     all     48.78      0.00     32.65      4.39      0.20     13.98
04:40:57 PM     all     38.49      0.00     27.09      3.56      0.10     30.75
04:41:02 PM     all     49.70      0.00      2.71      0.10      0.00     47.49
04:41:07 PM     all      9.36      0.00      9.56      0.20      0.10     80.78
04:41:12 PM     all      0.10      0.00      0.00      0.00      0.50     99.40
04:41:17 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:41:22 PM     all     12.31      0.00      0.81      8.85      2.14     75.89
04:41:27 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
04:41:32 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:41:37 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:41:42 PM     all      0.10      0.00      0.10      0.00      0.30     99.50
04:41:47 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:41:52 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:41:57 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:42:02 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:42:07 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:42:12 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:42:17 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:42:22 PM     all      0.00      0.00      0.10      0.00      0.30     99.60
04:42:27 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:42:32 PM     all      0.00      0.00      0.10      0.00      0.30     99.60
04:42:37 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:42:42 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:42:47 PM     all      0.00      0.00      0.00      0.00      0.50     99.50
04:42:52 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:42:57 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:43:02 PM     all      0.00      0.00      0.00      0.00      0.40     99.60
04:43:07 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:43:12 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:43:17 PM     all      0.00      0.00      0.00      0.00      0.20     99.80
04:43:22 PM     all      0.00      0.00      0.00      0.00      0.60     99.40
04:43:27 PM     all      0.00      0.00      0.00      0.00      0.30     99.70
04:43:32 PM     all      3.87      0.00      0.92      5.80      0.41     89.00
04:43:37 PM     all     31.74      0.00     10.06      5.60      0.31     52.28
04:43:42 PM     all      0.82      0.00      0.82      0.00      0.61     97.75
04:43:47 PM     all      0.71      0.00      0.92      0.00      0.51     97.86
04:43:52 PM     all      0.72      0.00      0.82      0.00      0.72     97.75
04:43:57 PM     all      0.92      0.00      0.92      0.51      0.61     97.04
04:44:02 PM     all      7.24      0.00      1.65      1.14      0.62     89.35
04:44:07 PM     all      0.81      0.00      0.91      0.10      1.02     97.16
04:44:12 PM     all      0.92      0.00      0.82      0.00      0.72     97.54
04:44:17 PM     all      0.81      0.00      1.02      0.00      0.71     97.45
04:44:22 PM     all      0.92      0.00      1.02      0.00      0.51     97.55
04:44:27 PM     all      0.82      0.00      1.02      0.00      0.71     97.45
04:44:32 PM     all      0.82      0.00      0.72      0.00      0.72     97.75
04:44:37 PM     all      0.82      0.00      0.82      0.00      0.72     97.65
04:44:42 PM     all      0.82      0.00      0.92      0.00      0.72     97.54
04:44:47 PM     all      0.72      0.00      0.82      0.00      0.61     97.85
04:44:52 PM     all      0.61      0.00      0.92      0.00      0.72     97.75
04:44:57 PM     all      0.61      0.00      0.72      0.00      0.72     97.96
04:45:02 PM     all      0.72      0.00      0.61      0.00      1.02     97.65
04:45:07 PM     all      0.61      0.00      0.72      0.00      0.72     97.96
04:45:12 PM     all      0.72      0.00      0.92      0.00      0.82     97.54
04:45:17 PM     all      0.61      0.00      0.72      0.00      0.51     98.16
04:45:22 PM     all      0.82      0.00      0.72      0.00      0.82     97.64
04:45:27 PM     all      0.62      0.00      0.62      0.00      0.72     98.05
04:45:32 PM     all      0.82      0.00      0.72      0.00      0.62     97.85
04:45:37 PM     all      0.72      0.00      0.72      0.00      0.51     98.06
04:45:42 PM     all      0.72      0.00      0.92      0.00      0.72     97.64
04:45:47 PM     all      0.72      0.00      0.61      0.00      0.61     98.06
04:45:52 PM     all      0.82      0.00      0.72      0.00      0.61     97.85
04:45:57 PM     all      0.72      0.00      0.61      0.00      0.61     98.06
04:46:02 PM     all      0.72      0.00      0.82      0.00      0.51     97.95
04:46:07 PM     all      0.82      0.00      0.51      0.00      0.51     98.16
04:46:12 PM     all      0.92      0.00      1.12      0.00      0.82     97.15
04:46:17 PM     all      0.82      0.00      0.82      0.00      0.51     97.86
04:46:22 PM     all      0.82      0.00      0.82      0.00      0.61     97.75
04:46:27 PM     all      0.82      0.00      0.82      0.00      0.71     97.66
04:46:32 PM     all      0.82      0.00      0.82      0.00      0.61     97.76
04:46:37 PM     all      1.55      0.00      1.34      0.10      0.52     96.49
04:46:42 PM     all      2.23      0.00      2.23      0.42      0.74     94.38
04:46:47 PM     all      2.11      0.00      1.90      0.42      0.85     94.71
04:46:52 PM     all      3.35      0.00      2.92      0.43      0.86     92.43
04:46:57 PM     all      3.04      0.00      3.25      0.33      0.98     92.41
04:47:02 PM     all      3.23      0.00      3.12      0.54      0.97     92.13
04:47:07 PM     all      3.24      0.00      2.81      0.43      0.86     92.65
04:47:12 PM     all      3.60      0.00      3.38      0.44      0.98     91.60
04:47:17 PM     all      3.06      0.00      3.06      0.33      0.87     92.68
04:47:22 PM     all      2.36      0.00      2.47      0.43      0.86     93.88
04:47:27 PM     all      2.97      0.00      2.97      0.44      0.88     92.73
04:47:32 PM     all      2.88      0.00      3.21      0.44      1.11     92.36
04:47:37 PM     all      2.75      0.00      2.97      0.44      0.88     92.96
04:47:42 PM     all      3.24      0.00      3.02      0.45      1.01     92.28
04:47:47 PM     all      2.55      0.00      3.22      0.44      1.11     92.67
04:47:52 PM     all      2.56      0.00      3.01      0.45      1.11     92.87
04:47:57 PM     all      2.67      0.00      2.89      0.44      1.00     93.00
04:48:02 PM     all      2.77      0.00      3.21      0.44      1.00     92.59
04:48:07 PM     all      2.75      0.00      2.75      0.55      0.88     93.06
04:48:12 PM     all      2.78      0.00      3.00      0.44      1.11     92.66
04:48:17 PM     all      2.54      0.00      3.10      0.33      0.88     93.14
04:48:22 PM     all      2.67      0.00      3.11      0.44      1.00     92.78
04:48:27 PM     all      3.30      0.00      6.17      0.44      0.99     89.10
04:48:32 PM     all      2.76      0.00      2.98      0.44      0.99     92.83
04:48:37 PM     all      2.53      0.00      3.30      0.66      1.10     92.40
04:48:42 PM     all      2.77      0.00      3.54      0.44      1.00     92.25
04:48:47 PM     all      2.55      0.00      2.99      0.44      1.00     93.02
04:48:52 PM     all      2.87      0.00      3.20      0.33      1.10     92.49
04:48:57 PM     all      3.20      0.00      3.09      0.44      0.99     92.28
04:49:02 PM     all      3.54      0.00      2.76      0.44      0.99     92.27
04:49:07 PM     all      2.86      0.00      2.97      0.44      0.99     92.74
04:49:12 PM     all      2.98      0.00      3.20      0.33      0.88     92.60
04:49:17 PM     all      2.86      0.00      2.31      0.44      0.88     93.52
04:49:22 PM     all      3.41      0.00      3.08      0.44      0.88     92.20
04:49:27 PM     all      3.18      0.00      2.96      0.44      0.99     92.43
04:49:32 PM     all      3.23      0.00      2.89      0.33      0.89     92.66
04:49:37 PM     all      3.30      0.00      2.64      0.44      0.99     92.63
04:49:42 PM     all      2.99      0.00      3.32      0.44      0.89     92.36
04:49:47 PM     all      3.09      0.00      2.98      0.33      0.99     92.61
04:49:52 PM     all      3.41      0.00      3.19      0.44      0.88     92.08
04:49:57 PM     all      3.41      0.00      2.75      0.44      0.99     92.40
04:50:02 PM     all      3.19      0.00      3.63      0.44      0.88     91.86
04:50:07 PM     all      2.74      0.00      2.63      0.44      0.99     93.19
04:50:12 PM     all      3.41      0.00      3.19      0.44      0.99     91.97
04:50:17 PM     all      2.88      0.00      2.43      0.44      1.00     93.25
04:50:22 PM     all      3.08      0.00      2.86      0.44      1.10     92.51
04:50:27 PM     all      3.10      0.00      2.77      0.44      1.11     92.58
04:50:32 PM     all      3.34      0.00      3.00      0.44      0.89     92.32
04:50:37 PM     all      7.31      0.00      7.81      0.37      1.61     82.90
04:50:42 PM     all      8.03      0.00      8.28      0.51      1.78     81.40
04:50:47 PM     all      6.88      0.00      8.54      0.51      1.78     82.29
04:50:52 PM     all      8.01      0.00      7.37      0.51      1.65     82.47
04:50:57 PM     all      6.88      0.00      7.38      0.50      1.75     83.48
04:51:02 PM     all      7.99      0.00      6.74      0.37      1.50     83.40
04:51:07 PM     all      7.38      0.00      7.01      0.50      1.75     83.35
04:51:12 PM     all      7.98      0.00      7.73      0.51      1.77     82.00
04:51:17 PM     all      7.83      0.00      6.80      0.51      1.93     82.93
04:51:22 PM     all      8.18      0.00      7.17      0.38      1.76     82.52
04:51:27 PM     all      7.98      0.00      7.10      0.51      1.90     82.51
04:51:32 PM     all      7.96      0.00      8.09      0.51      1.77     81.67
04:51:37 PM     all      8.12      0.00      7.38      0.50      1.75     82.25
04:51:42 PM     all      8.27      0.00      8.14      0.51      1.78     81.30
04:51:47 PM     all      8.10      0.00      7.22      0.51      1.65     82.53
04:51:52 PM     all      8.50      0.00      8.25      0.50      1.75     81.00
04:51:57 PM     all      8.16      0.00      7.78      0.38      1.63     82.06
04:52:02 PM     all      7.88      0.00      7.88      0.51      1.91     81.83
04:52:07 PM     all      7.27      0.00      6.90      0.49      1.85     83.50
04:52:12 PM     all      8.38      0.00      7.50      0.38      1.75     82.00
04:52:17 PM     all      7.80      0.00      6.92      0.50      1.89     82.89
04:52:22 PM     all      7.47      0.00      8.23      0.51      1.77     82.03
04:52:27 PM     all      8.81      0.00      8.05      0.38      1.76     81.01
04:52:32 PM     all      8.99      0.00      8.24      0.37      1.75     80.65
04:52:37 PM     all      8.20      0.00      7.58      0.50      1.74     81.99
04:52:42 PM     all      8.54      0.00      8.04      0.50      1.63     81.28
04:52:47 PM     all      8.21      0.00      7.84      0.50      1.62     81.84
04:52:52 PM     all      8.60      0.00      8.22      0.51      1.77     80.91
04:52:57 PM     all      7.91      0.00      7.42      0.49      1.85     82.32
04:53:02 PM     all      9.49      0.00      7.37      0.37      1.87     80.90
04:53:07 PM     all      8.73      0.00      7.11      0.50      1.75     81.92
04:53:12 PM     all      8.49      0.00      8.49      0.37      1.87     80.77
04:53:17 PM     all      8.67      0.00      8.18      0.50      1.86     80.79
04:53:22 PM     all      8.93      0.00      8.06      0.50      1.74     80.77
04:53:27 PM     all      8.29      0.00      8.42      0.50      1.73     81.06
04:53:32 PM     all      9.08      0.00      8.71      0.37      1.62     80.22
04:53:37 PM     all      8.19      0.00      8.56      0.49      1.71     81.05
04:53:42 PM     all      8.47      0.00      8.97      0.37      1.74     80.45
04:53:47 PM     all      8.82      0.00      8.57      0.62      1.99     80.00
04:53:52 PM     all      9.20      0.00      9.20      0.37      1.74     79.48
04:53:57 PM     all      9.34      0.00      9.58      0.49      1.84     78.75
04:54:02 PM     all      9.68      0.00      8.93      0.50      1.86     79.03
04:54:07 PM     all      9.55      0.00      9.42      0.37      1.84     78.82
04:54:12 PM     all     10.80      0.00      9.20      0.49      1.72     77.79
04:54:17 PM     all      9.10      0.00      9.10      0.49      1.72     79.58
04:54:22 PM     all      9.79      0.00      9.30      0.37      1.71     78.82
04:54:27 PM     all     10.15      0.00      9.17      0.49      1.59     78.61
04:54:32 PM     all      9.95      0.00      9.58      0.49      1.84     78.13
04:54:37 PM     all      9.37      0.00      9.25      0.37      1.85     79.16
04:54:42 PM     all     10.54      0.00     10.17      0.49      1.72     77.08
04:54:47 PM     all      9.85      0.00      9.73      0.49      1.95     77.98
04:54:52 PM     all     10.12      0.00      9.38      0.37      1.73     78.40
04:54:57 PM     all     10.76      0.00      9.67      0.36      1.93     77.27
04:55:02 PM     all     10.27      0.00      9.17      0.49      1.71     78.36
04:55:07 PM     all     10.56      0.00      9.59      0.36      1.70     77.79
04:55:12 PM     all     10.21      0.00     10.21      0.49      1.58     77.52
04:55:17 PM     all      9.85      0.00      9.85      0.49      1.70     78.10
04:55:22 PM     all     11.75      0.00      8.94      0.37      1.84     77.11
04:55:27 PM     all      9.88      0.00      9.14      0.49      1.85     78.64
04:55:32 PM     all     10.54      0.00      9.31      0.49      1.96     77.70
04:55:37 PM     all     10.72      0.00      9.76      0.48      1.81     77.23
04:55:42 PM     all     10.81      0.00      8.97      0.37      1.72     78.13
04:55:47 PM     all      9.63      0.00      8.78      0.48      1.81     79.30
04:55:52 PM     all      9.40      0.00      8.80      0.36      1.69     79.76
04:55:57 PM     all     10.06      0.00      8.61      0.48      1.70     79.15
04:56:02 PM     all      9.89      0.00      8.93      0.48      1.57     79.13
04:56:07 PM     all     10.06      0.00      8.83      0.37      1.84     78.90
04:56:12 PM     all      9.91      0.00      9.54      0.50      1.86     78.19
04:56:17 PM     all     10.02      0.00      9.17      0.37      1.83     78.61
04:56:22 PM     all     10.73      0.00      9.02      0.49      1.83     77.93
04:56:27 PM     all     10.30      0.00      9.94      0.48      1.82     77.45
04:56:32 PM     all     10.73      0.00      8.75      0.37      1.73     78.42
04:56:37 PM     all      9.92      0.00      8.71      0.48      1.81     79.08
04:56:42 PM     all      9.98      0.00      8.77      0.48      1.56     79.21
04:56:47 PM     all      9.84      0.00      8.76      0.48      1.68     79.23
04:56:52 PM     all      9.69      0.00      9.20      0.36      1.57     79.18
04:56:57 PM     all     10.13      0.00      9.16      0.49      1.83     78.39
04:57:02 PM     all      9.76      0.00      8.78      0.49      1.83     79.15
04:57:07 PM     all      9.57      0.00      8.96      0.37      1.72     79.39
04:57:12 PM     all     10.69      0.00      9.46      0.49      1.72     77.64
04:57:17 PM     all      9.79      0.00      9.18      0.37      1.84     78.82
04:57:22 PM     all      9.80      0.00      8.95      0.49      1.84     78.92
04:57:27 PM     all      9.99      0.00      9.62      0.49      1.71     78.20
04:57:32 PM     all      9.25      0.00      9.12      0.49      1.58     79.56
04:57:37 PM     all      9.18      0.00      8.70      0.36      1.55     80.21
04:57:42 PM     all     10.21      0.00      9.23      0.49      1.82     78.25
04:57:47 PM     all      9.38      0.00      9.01      0.49      1.83     79.29
04:57:52 PM     all      9.34      0.00      8.50      0.36      1.70     80.10
04:57:57 PM     all      9.93      0.00      9.56      0.49      1.84     78.19
04:58:02 PM     all     10.44      0.00      9.09      0.37      1.84     78.26
04:58:07 PM     all     10.42      0.00      9.33      0.48      1.82     77.94
04:58:12 PM     all     10.63      0.00      8.90      0.49      1.73     78.24
04:58:17 PM     all     10.81      0.00      9.36      0.36      1.70     77.76
04:58:22 PM     all     11.18      0.00      8.97      0.37      1.60     77.89
04:58:27 PM     all      9.99      0.00      9.74      0.49      1.83     77.95
04:58:32 PM     all      9.83      0.00      8.96      0.50      1.74     78.98
04:58:37 PM     all      9.20      0.00      8.83      0.37      1.84     79.75
04:58:42 PM     all      9.17      0.00      8.31      0.49      1.71     80.32
04:58:47 PM     all      9.44      0.00      9.07      0.49      1.84     79.17
04:58:52 PM     all      9.83      0.00      9.09      0.49      1.72     78.87
04:58:57 PM     all      9.62      0.00      8.75      0.62      1.85     79.16
04:59:02 PM     all      9.40      0.00      8.55      0.37      1.71     79.98
04:59:07 PM     all     10.04      0.00      8.94      0.49      1.84     78.70
04:59:12 PM     all      9.80      0.00      8.81      0.50      1.74     79.16
04:59:17 PM     all     10.10      0.00      8.62      0.49      1.85     78.94
04:59:22 PM     all      9.28      0.00      8.91      0.37      1.86     79.58
04:59:27 PM     all      9.51      0.00      9.01      0.49      1.85     79.14
04:59:32 PM     all      8.59      0.00      8.59      0.37      1.84     80.61
04:59:37 PM     all      9.07      0.00      8.32      0.50      1.74     80.37
04:59:42 PM     all     10.06      0.00      9.57      0.50      1.86     78.01
04:59:47 PM     all      9.36      0.00      8.99      0.37      1.72     79.56
04:59:52 PM     all      9.74      0.00      9.12      0.62      1.73     78.79
04:59:57 PM     all      9.55      0.00      9.30      0.49      1.59     79.07
05:00:02 PM     all      9.52      0.00      8.67      0.49      1.71     79.61
